id	campaign_id	customer_id	redemption_status
1	13	1053	0
2	13	48	0
6	9	205	0
7	13	1050	0
9	8	1489	0
11	11	793	0
14	9	590	0
15	29	368	0
17	30	523	0
19	2	679	0
20	9	108	0
21	13	89	0
22	9	712	0
23	13	1067	0
24	5	761	0
25	13	248	0
26	11	1464	0
27	5	186	0
28	13	1152	0
29	8	695	0
30	8	886	0
32	30	1255	0
33	12	553	0
34	8	1398	0
35	13	1031	0
39	26	63	0
42	30	88	0
43	8	197	0
45	8	1095	0
46	13	1096	0
48	26	919	0
51	13	917	0
52	5	828	0
54	30	958	0
55	30	91	0
56	8	1447	0
58	30	124	0
61	8	661	0
62	26	648	0
63	13	1381	0
65	13	680	0
66	8	72	0
69	8	883	0
71	8	1366	0
72	13	276	1
74	26	578	0
75	30	895	0
77	13	861	0
79	30	1383	0
80	11	1351	0
82	29	1162	0
83	8	19	0
84	2	384	0
85	13	200	0
86	29	113	0
88	26	1210	0
90	8	341	0
91	8	1475	0
92	3	998	0
93	13	1418	0
95	13	1444	0
97	26	321	0
99	8	372	0
101	13	888	0
102	8	659	0
103	30	340	0
104	13	657	0
106	3	998	0
107	13	590	0
110	8	1044	0
113	26	435	0
115	12	416	0
117	13	741	0
118	13	572	0
121	13	1214	0
122	8	166	0
123	13	1152	0
124	29	278	0
125	13	379	0
129	13	1005	0
130	13	1241	0
131	8	1202	0
134	12	1025	0
135	13	814	0
136	13	619	0
137	3	998	0
139	4	15	0
141	8	638	0
142	10	1582	0
144	13	310	0
146	8	8	0
151	8	95	0
152	13	932	0
154	8	1195	0
155	12	1232	0
156	13	1096	0
158	30	1383	0
159	29	569	0
160	8	640	0
161	13	1003	0
164	29	1029	0
165	13	644	0
167	13	526	0
169	13	745	0
170	13	1136	0
171	5	1491	0
172	30	1534	0
176	8	80	0
179	26	1174	0
180	12	879	0
181	9	608	0
182	9	755	0
183	29	1099	0
184	13	1118	0
186	13	582	0
187	12	686	0
188	7	441	0
192	11	666	0
193	8	1233	0
194	13	434	0
195	8	1369	0
196	13	1303	0
197	9	155	0
198	13	736	0
200	8	1410	0
202	13	607	0
205	29	874	0
206	5	44	0
207	8	1201	0
208	13	1306	0
209	13	900	0
213	8	28	0
214	12	42	0
215	13	538	0
217	11	106	0
218	8	1082	0
219	26	212	0
220	11	1324	0
221	30	871	0
222	29	501	0
224	29	1229	0
225	8	343	0
228	29	634	0
230	13	754	0
231	4	41	0
233	13	206	0
238	29	131	0
239	8	1145	0
240	8	612	0
241	13	1351	0
242	29	992	0
243	8	1307	0
247	13	936	0
250	8	389	0
254	7	532	0
255	12	1026	0
259	13	403	0
260	13	718	0
261	8	38	0
262	8	1246	0
264	9	569	0
265	8	176	0
266	8	1449	0
267	3	725	0
269	8	866	0
270	13	1173	0
273	9	384	0
275	13	835	0
277	13	923	0
279	8	125	0
282	13	694	0
283	30	1192	0
284	30	1462	0
286	11	1058	0
287	9	1339	0
290	11	430	0
291	11	1489	0
292	13	1192	0
293	8	191	0
295	8	1031	0
298	8	1236	0
299	13	467	1
301	10	726	0
304	11	1199	0
305	8	932	0
306	11	1332	0
307	8	402	0
308	8	1446	0
309	8	1292	0
313	13	93	0
316	8	835	0
317	13	474	0
318	13	450	0
320	8	1158	0
321	13	38	0
322	8	1089	0
325	13	1183	0
326	8	355	0
328	30	1357	0
329	26	1426	0
330	8	273	0
331	11	776	0
332	8	727	0
335	10	737	0
336	13	136	0
337	9	553	0
342	26	1074	0
343	8	1373	0
345	8	293	0
346	13	626	0
347	8	654	0
351	12	1387	0
352	30	1061	0
353	5	1346	0
355	30	1348	0
356	8	324	0
357	13	130	0
359	26	214	1
360	8	306	0
361	13	686	0
362	8	691	0
363	13	639	0
365	13	1528	0
366	13	800	0
367	8	392	0
368	7	1208	0
369	13	684	0
370	13	1168	0
371	13	1315	0
372	13	441	0
374	26	1046	0
378	8	189	0
380	8	1006	0
383	26	523	0
384	10	1285	0
385	8	40	0
386	7	607	0
387	13	1103	1
389	13	108	0
391	11	106	0
392	13	954	0
393	13	395	0
395	13	498	0
397	13	888	0
398	9	814	0
400	29	117	0
401	8	779	0
403	8	640	0
404	8	1479	0
406	9	316	0
407	30	531	0
410	29	1212	0
411	13	437	0
412	12	1026	0
413	13	297	0
417	13	973	0
418	13	691	0
419	29	1429	0
420	29	876	0
421	10	1372	0
423	29	278	0
424	8	590	0
425	26	790	0
428	26	1238	0
430	8	764	0
435	8	473	0
438	10	566	0
440	13	1267	0
441	8	344	0
445	9	1202	0
446	13	105	0
447	8	56	0
449	8	1195	0
450	8	1357	0
452	8	1368	0
454	8	594	0
455	8	776	0
456	11	1359	0
457	13	1334	0
461	13	89	0
463	8	1471	0
465	8	1201	0
468	8	1234	0
469	30	566	0
470	26	1044	0
472	11	420	0
473	26	1464	0
474	13	866	0
475	13	561	0
478	26	1146	0
479	8	820	0
483	13	1563	0
484	8	1039	0
485	13	956	0
486	13	136	0
487	5	795	0
488	28	401	0
491	13	1419	0
492	4	808	0
494	13	448	0
495	12	167	0
496	26	477	0
497	8	1085	0
499	12	268	0
502	9	1520	0
503	30	1497	0
504	27	195	0
505	5	301	0
506	13	819	0
507	8	797	0
508	4	1549	0
515	13	1200	0
516	8	39	0
517	5	88	0
518	13	445	0
519	29	1445	0
521	10	302	0
523	8	944	0
525	13	413	0
526	8	689	0
528	13	1389	0
529	8	704	0
530	26	969	0
531	8	852	0
532	8	815	0
533	13	1216	0
534	8	768	0
535	8	1538	0
536	30	153	0
538	8	1474	0
539	26	152	0
541	13	1246	0
543	8	839	0
545	8	1039	0
546	13	279	0
548	8	433	0
549	8	30	0
554	13	1061	0
555	8	43	0
557	13	1481	0
558	29	1212	0
560	30	1256	0
561	8	854	0
563	26	958	0
564	13	279	0
566	12	569	0
567	13	852	0
569	9	569	0
570	8	124	0
571	7	1084	0
572	26	766	0
575	8	651	0
576	8	1340	0
577	13	53	0
579	8	860	0
584	5	301	0
589	8	1489	0
590	30	953	0
591	8	792	0
592	10	1419	0
594	13	996	0
596	8	516	0
598	8	243	0
599	13	71	0
601	26	387	0
603	8	1411	0
607	13	7	0
609	13	862	0
612	8	883	0
613	13	179	0
615	13	1210	0
617	12	439	0
618	13	872	0
620	13	1358	0
621	30	1554	0
623	13	734	0
626	12	537	0
628	4	957	0
634	13	866	0
635	5	42	0
638	30	1458	0
639	13	1441	0
640	10	226	0
641	30	633	0
642	26	294	0
643	8	1044	0
644	13	973	0
646	8	478	0
647	5	829	0
648	30	1044	0
649	8	1321	0
650	8	496	0
651	8	522	0
654	13	499	0
656	29	460	0
657	30	586	0
659	30	419	0
660	8	446	0
661	8	754	0
662	13	567	0
664	13	1192	0
665	8	637	0
666	12	1266	0
