id,date,category,brand_type
1,1/2/2012,Grocery,Established
2,1/2/2012,Miscellaneous,Established
6,1/2/2012,Bakery,Local
7,1/2/2012,Grocery,Local
9,1/2/2012,Grocery,Local
11,1/2/2012,Grocery,Local
14,1/2/2012,Pharmaceutical,Local
15,1/2/2012,Bakery,Local
17,1/2/2012,Grocery,Local
19,1/2/2012,Grocery,Local
20,1/2/2012,Pharmaceutical,Established
21,1/2/2012,Grocery,Local
22,1/2/2012,Grocery,Established
23,1/2/2012,Grocery,Local
24,1/2/2012,Grocery,Local
25,1/2/2012,Grocery,Local
26,1/2/2012,Grocery,Local
27,1/2/2012,Grocery,Local
28,1/2/2012,Pharmaceutical,Local
29,1/2/2012,Grocery,Local
30,1/2/2012,Grocery,Local
32,1/2/2012,Grocery,Local
33,1/2/2012,Grocery,Local
34,1/2/2012,Grocery,Local
35,1/2/2012,Grocery,Local
39,1/2/2012,Grocery,Local
42,1/2/2012,Grocery,Local
43,1/2/2012,Grocery,Local
45,1/2/2012,Grocery,Local
46,1/2/2012,Grocery,Local
48,1/2/2012,Grocery,Local
51,1/2/2012,Grocery,Local
52,1/2/2012,Grocery,Local
54,1/2/2012,Grocery,Local
55,1/2/2012,Grocery,Local
56,1/2/2012,Grocery,Local
58,1/2/2012,Grocery,Local
61,1/2/2012,Grocery,Local
62,1/2/2012,Grocery,Local
63,1/2/2012,Grocery,Local
65,1/2/2012,Grocery,Local
66,1/2/2012,Grocery,Local
69,1/2/2012,Grocery,Local
71,1/2/2012,Grocery,Local
72,1/2/2012,Grocery,Local
74,1/2/2012,Grocery,Local
75,1/2/2012,Grocery,Local
77,1/2/2012,Packaged Meat,Local
79,1/2/2012,Grocery,Local
80,1/2/2012,Grocery,Local
82,1/2/2012,Seafood,Local
83,1/2/2012,Grocery,Local
84,1/2/2012,Bakery,Local
85,1/2/2012,Seafood,Local
86,1/2/2012,Grocery,Local
88,1/2/2012,Bakery,Local
90,1/2/2012,Grocery,Local
91,1/2/2012,Grocery,Local
92,1/2/2012,Natural Products,Local
93,1/2/2012,Packaged Meat,Local
95,1/2/2012,Grocery,Local
97,1/2/2012,Grocery,Local
99,1/2/2012,Grocery,Local
101,1/2/2012,Grocery,Local
102,1/2/2012,Natural Products,Local
103,1/2/2012,Grocery,Local
104,1/2/2012,Grocery,Local
106,1/2/2012,Grocery,Local
107,1/2/2012,Bakery,Local
110,1/2/2012,Grocery,Local
113,1/2/2012,Grocery,Established
115,1/2/2012,Grocery,Local
117,1/2/2012,Grocery,Established
118,1/2/2012,Seafood,Local
121,1/2/2012,Grocery,Local
122,1/2/2012,Grocery,Established
123,1/2/2012,Grocery,Established
124,1/2/2012,Grocery,Local
125,1/2/2012,Grocery,Local
129,1/2/2012,Grocery,Local
130,1/2/2012,Grocery,Established
131,1/2/2012,Grocery,Local
134,1/2/2012,Grocery,Local
135,1/2/2012,Grocery,Local
136,1/2/2012,Grocery,Local
137,1/2/2012,Grocery,Established
139,1/2/2012,Seafood,Local
141,1/2/2012,Natural Products,Local
142,1/2/2012,Seafood,Local
144,1/2/2012,Grocery,Local
146,1/2/2012,Pharmaceutical,Local
151,1/2/2012,Grocery,Local
152,1/2/2012,Pharmaceutical,Local
154,1/2/2012,Grocery,Local
155,1/2/2012,Grocery,Established
156,1/2/2012,Pharmaceutical,Local
158,1/2/2012,Grocery,Established
159,1/2/2012,Grocery,Established
160,1/2/2012,Grocery,Established
161,1/2/2012,Grocery,Established
164,1/2/2012,Grocery,Local
165,1/2/2012,Grocery,Established
167,1/2/2012,Pharmaceutical,Established
169,1/2/2012,Grocery,Local
170,1/2/2012,Grocery,Established
171,1/2/2012,Grocery,Local
172,1/2/2012,Grocery,Established
176,1/2/2012,"Dairy, Juices & Snacks",Established
